n_guided,n_free,feeders_1,feeders_2,drop_1,drop_2,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,is_guided_8,is_guided_9,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,releasetime_1,releasetime_2,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
3,6,4,6,1,1,1,1,1,0,0,0,0,0,0,6,6,6,6,6,4,6,4,4,1,1,1,1,1,1,1,1,1,100,100,Game1,20210102,124933,0,10221,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010221 ,269,20210102,124933,02-Jan-2021 12:49:33,ee_alterhb,1
3,6,2,8,0,5,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,8,8,0,0,0,5,5,5,5,5,5,100,100,Game1,20210102,124933,0,10221,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010221 ,269,20210102,124933,02-Jan-2021 12:49:33,ee_alterhb,2
3,6,4,6,4,2,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,100,100,Game1,20210102,124933,0,10221,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010221 ,269,20210102,124933,02-Jan-2021 12:49:33,ee_alterhb,1
3,6,2,8,2,3,1,1,1,0,0,0,0,0,0,8,8,8,2,8,8,8,8,8,3,3,3,2,3,3,3,3,3,100,100,Game1,20210102,124933,0,10221,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010221 ,269,20210102,124933,02-Jan-2021 12:49:33,ee_alterhb,2
3,6,4,6,2,4,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,4,6,2,2,2,4,4,4,4,2,4,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,2,8,3,1,1,1,1,0,0,0,0,0,0,8,8,8,2,8,2,8,8,2,1,1,1,3,1,3,1,1,3,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,2
3,6,4,6,1,4,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,2,8,1,5,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,2,8,1,1,1,5,5,5,5,1,5,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,2
3,6,4,6,2,3,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,4,6,6,3,3,3,3,3,3,2,3,3,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,2,8,2,3,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,2
3,6,4,6,3,2,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,2,8,0,3,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,8,8,0,0,0,3,3,3,3,3,3,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,2
3,6,4,6,5,2,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,5,5,5,2,2,2,2,2,2,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,2,8,2,4,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,4,4,4,4,4,4,4,4,4,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,2
3,6,4,6,0,4,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,0,0,0,4,4,4,4,4,4,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,2,8,5,3,1,1,1,0,0,0,0,0,0,2,2,2,8,8,2,8,8,8,5,5,5,3,3,5,3,3,3,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,2
3,6,4,6,3,2,1,1,1,0,0,0,0,0,0,4,4,4,6,4,6,4,6,6,3,3,3,2,3,2,3,2,2,100,100,Game1,20210104,110249,0,10421,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010421 ,250,20210104,110249,04-Jan-2021 11:02:49,ee_alterhb,1
3,6,4,6,4,5,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,2,8,0,2,1,1,1,0,0,0,0,0,0,8,8,8,2,8,2,8,8,8,2,2,2,0,2,0,2,2,2,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,2
3,6,4,6,0,3,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,2,8,2,0,1,1,1,0,0,0,0,0,0,2,2,2,8,2,8,2,8,2,2,2,2,0,2,0,2,0,2,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,2
3,6,4,6,2,0,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,4,4,0,0,0,2,2,2,2,2,2,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,2,8,1,3,1,1,1,0,0,0,0,0,0,8,8,8,8,2,8,8,8,2,3,3,3,3,1,3,3,3,1,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,2
3,6,4,6,1,0,1,1,1,0,0,0,0,0,0,4,4,4,6,4,4,6,4,4,1,1,1,0,1,1,0,1,1,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,2,8,1,5,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,2
3,6,4,6,0,2,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,4,6,4,0,0,0,2,2,2,0,2,0,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,2,8,1,1,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,2,2,2,1,1,1,1,1,1,1,1,1,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,2
3,6,4,6,3,5,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,2,8,4,1,1,1,1,0,0,0,0,0,0,2,2,2,2,8,8,8,2,8,4,4,4,4,1,1,1,4,1,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,2
3,6,4,6,3,5,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,4,5,5,5,5,5,5,5,5,3,100,100,Game1,20210105,133903,0,10521,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010521 ,250,20210105,133903,05-Jan-2021 13:39:03,ee_alterhb,1
3,6,4,6,2,1,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,4,6,6,1,1,1,2,2,2,2,1,1,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,1
3,6,2,8,3,0,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,2
3,6,4,6,0,2,1,1,1,0,0,0,0,0,0,4,4,4,4,6,6,6,6,6,0,0,0,0,2,2,2,2,2,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,1
3,6,2,8,2,2,1,1,1,0,0,0,0,0,0,8,8,8,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,2
3,6,4,6,1,0,1,1,1,0,0,0,0,0,0,6,6,6,4,6,4,4,6,4,0,0,0,1,0,1,1,0,1,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,1
3,6,2,8,2,3,1,1,1,0,0,0,0,0,0,2,2,2,2,2,8,8,8,8,2,2,2,2,2,3,3,3,3,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,2
3,6,4,6,3,4,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,1
3,6,2,8,3,1,1,1,1,0,0,0,0,0,0,8,8,8,2,2,2,8,2,8,1,1,1,3,3,3,1,3,1,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,2
3,6,4,6,4,5,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,1
3,6,2,8,5,3,1,1,1,0,0,0,0,0,0,8,8,8,2,2,2,8,2,8,3,3,3,5,5,5,3,5,3,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,2
3,6,4,6,5,0,1,1,1,0,0,0,0,0,0,4,4,4,6,4,6,4,4,4,5,5,5,0,5,0,5,5,5,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,1
3,6,2,8,5,0,1,1,1,0,0,0,0,0,0,2,2,2,8,8,2,2,8,2,5,5,5,0,0,5,5,0,5,100,100,Game1,20210106,95834,0,10621,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010621 ,231,20210106,95834,06-Jan-2021 09:58:34,ee_alterhb,2
3,6,4,6,0,4,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,2,8,1,3,1,1,1,0,0,0,0,0,0,8,8,8,2,2,8,8,8,8,3,3,3,1,1,3,3,3,3,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,2
3,6,4,6,0,2,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,0,0,0,2,2,2,2,2,2,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,2,8,2,5,1,1,1,0,0,0,0,0,0,2,2,2,8,8,8,8,2,2,2,2,2,5,5,5,5,2,2,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,2
3,6,4,6,1,4,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,1,1,1,4,4,4,4,4,4,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,2,8,3,4,1,1,1,0,0,0,0,0,0,8,8,8,8,8,8,8,2,2,4,4,4,4,4,4,4,3,3,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,2
3,6,4,6,5,0,1,1,1,0,0,0,0,0,0,6,6,6,4,4,4,6,4,4,0,0,0,5,5,5,0,5,5,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,2,8,0,2,1,1,1,0,0,0,0,0,0,8,8,8,2,8,2,8,2,8,2,2,2,0,2,0,2,0,2,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,2
3,6,4,6,5,4,1,1,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,2,8,5,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,2
3,6,4,6,2,3,1,1,1,0,0,0,0,0,0,6,6,6,4,6,4,4,6,6,3,3,3,2,3,2,2,3,3,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,2,8,1,0,1,1,1,0,0,0,0,0,0,2,2,2,8,2,8,2,2,2,1,1,1,0,1,0,1,1,1,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,2
3,6,4,6,0,5,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,0,0,0,5,5,5,5,5,5,100,100,Game1,20210107,131842,0,10721,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010721 ,250,20210107,131842,07-Jan-2021 13:18:42,ee_alterhb,1
3,6,4,6,5,5,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,1
3,6,2,8,1,4,1,1,1,0,0,0,0,0,0,8,8,8,2,2,2,8,8,8,4,4,4,1,1,1,4,4,4,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,2
3,6,4,6,2,5,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,6,6,2,2,2,5,5,5,5,5,5,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,1
3,6,2,8,2,0,1,1,1,0,0,0,0,0,0,2,2,2,8,8,2,8,2,8,2,2,2,0,0,2,0,2,0,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,2
3,6,4,6,1,5,1,1,1,0,0,0,0,0,0,4,4,4,6,6,6,6,4,6,1,1,1,5,5,5,5,1,5,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,1
3,6,2,8,1,3,1,1,1,0,0,0,0,0,0,8,8,8,2,8,2,8,8,2,3,3,3,1,3,1,3,3,1,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,2
3,6,4,6,4,0,1,1,1,0,0,0,0,0,0,6,6,6,4,6,4,4,4,4,0,0,0,4,0,4,4,4,4,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,1
3,6,2,8,5,5,1,1,1,0,0,0,0,0,0,8,8,8,2,8,2,2,2,8,5,5,5,5,5,5,5,5,5,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,2
3,6,4,6,5,1,1,1,1,0,0,0,0,0,0,6,6,6,6,4,6,4,6,4,1,1,1,1,5,1,5,1,5,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,1
3,6,2,8,3,0,1,1,1,0,0,0,0,0,0,8,8,8,2,2,2,2,2,2,0,0,0,3,3,3,3,3,3,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,2
3,6,4,6,1,4,1,1,1,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,100,100,Game1,20210108,120455,0,10821,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/010821 ,212,20210108,120455,08-Jan-2021 12:04:55,ee_alterhb,1
