n_guided,n_free,feeders_1,feeders_2,drop_1,drop_2,is_guided_1,is_guided_2,is_guided_3,is_guided_4,is_guided_5,is_guided_6,is_guided_7,c_1,c_2,c_3,c_4,c_5,c_6,c_7,r_1,r_2,r_3,r_4,r_5,r_6,r_7,releasetime_1,releasetime_2,filename,date,time,delaytime,folderdate,rat,foldername,n_games,str_date,str_time,datetime,version,homebase15
1,1,4,6,5,2,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,5,0,1,0,0,0,0,0,0,8,2,2,2,2,2,2,0,5,5,5,5,5,5,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,0,2,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,2,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,3,1,1,0,0,0,0,0,0,2,8,2,2,2,8,2,3,1,3,3,3,1,3,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,1,2,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,4,5,1,0,0,0,0,0,0,2,8,8,8,8,8,8,4,5,5,5,5,5,5,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,5,2,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,5,1,1,0,0,0,0,0,0,2,2,8,8,8,2,2,5,5,1,1,1,5,5,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,3,5,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,5,0,1,0,0,0,0,0,0,8,2,2,2,2,2,2,0,5,5,5,5,5,5,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,1,0,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,0,1,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,0,2,1,0,0,0,0,0,0,8,2,8,2,2,8,8,2,0,2,0,0,2,2,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,4,0,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,4,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,1,3,1,0,0,0,0,0,0,2,8,2,8,2,8,2,1,3,1,3,1,3,1,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,3,5,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,5,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,1,2,1,0,0,0,0,0,0,2,8,8,2,8,2,8,1,2,2,1,2,1,2,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,2,3,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,4,5,1,0,0,0,0,0,0,8,8,8,8,8,8,8,5,5,5,5,5,5,5,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,4,0,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,4,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,1
1,6,2,8,0,1,1,0,0,0,0,0,0,8,8,2,8,2,8,8,1,1,0,1,0,1,1,100,100,Game1,20210309,93507,0,30921,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/030921      ,303,20210309,93507,09-Mar-2021 09:35:07,ee_alterhb,2
1,1,4,6,1,0,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,2,2,1,0,0,0,0,0,0,8,8,8,8,8,8,8,2,2,2,2,2,2,2,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,3,2,1,0,NaN,NaN,NaN,NaN,NaN,6,6,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,5,5,1,0,0,0,0,0,0,2,8,8,8,8,8,8,5,5,5,5,5,5,5,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,5,4,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,5,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,4,3,1,0,0,0,0,0,0,2,8,8,8,8,8,8,4,3,3,3,3,3,3,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,3,3,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,3,2,1,0,0,0,0,0,0,2,8,8,8,8,8,2,3,2,2,2,2,2,3,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,4,5,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,1,5,1,0,0,0,0,0,0,2,2,8,8,2,8,8,1,1,5,5,1,5,5,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,0,3,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,0,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,0,3,1,0,0,0,0,0,0,2,8,8,8,8,8,8,0,3,3,3,3,3,3,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,3,0,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,0,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,4,2,1,0,0,0,0,0,0,2,8,8,8,8,2,8,4,2,2,2,2,4,2,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,0,3,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,0,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,5,3,1,0,0,0,0,0,0,8,8,8,8,8,8,8,3,3,3,3,3,3,3,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,5,4,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,5,4,1,0,0,0,0,0,0,8,8,8,8,8,8,8,4,4,4,4,4,4,4,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,2,3,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,5,4,1,0,0,0,0,0,0,2,8,8,8,2,2,8,5,4,4,4,5,5,4,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,2,3,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,2,1,1,0,0,0,0,0,0,8,8,2,2,2,8,8,1,1,2,2,2,1,1,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,0,1,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,2,2,1,0,0,0,0,0,0,2,8,2,8,8,2,2,2,2,2,2,2,2,2,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,3,2,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,6,2,8,3,4,1,0,0,0,0,0,0,2,8,8,8,8,8,8,3,4,4,4,4,4,4,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,2
1,1,4,6,4,2,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,4,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210310,94641,0,31021,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031021      ,268,20210310,94641,10-Mar-2021 09:46:41,ee_alterhb,1
1,1,4,6,2,4,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,4,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,2,5,1,0,0,0,0,0,0,8,8,8,8,2,8,8,5,5,5,5,2,5,5,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,3,1,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,0,1,1,0,0,0,0,0,0,2,8,2,8,8,8,2,0,1,0,1,1,1,0,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,4,5,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,5,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,4,2,1,0,0,0,0,0,0,8,8,8,2,8,8,8,2,2,2,4,2,2,2,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,4,3,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,2,1,1,0,0,0,0,0,0,8,2,8,2,8,8,8,1,2,1,2,1,1,1,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,0,4,1,0,NaN,NaN,NaN,NaN,NaN,4,6,NaN,NaN,NaN,NaN,NaN,0,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,1,3,1,0,0,0,0,0,0,8,8,2,8,8,8,8,3,3,1,3,3,3,3,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,4,3,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,3,4,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,2,2,1,0,0,0,0,0,0,2,8,8,8,2,8,2,2,2,2,2,2,2,2,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,3,3,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,0,3,1,0,0,0,0,0,0,8,8,8,8,2,8,8,3,3,3,3,0,3,3,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,5,4,1,0,NaN,NaN,NaN,NaN,NaN,6,4,NaN,NaN,NaN,NaN,NaN,4,5,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,0,4,1,0,0,0,0,0,0,2,8,8,8,8,8,8,0,4,4,4,4,4,4,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
1,1,4,6,2,2,1,0,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,1
1,6,2,8,1,5,1,0,0,0,0,0,0,8,8,8,8,8,8,8,5,5,5,5,5,5,5,100,100,Game1,20210311,114414,0,31121,Gerald,/Users/wang/WANG/Lab/Lab_Fellous/RawData_RatExploration/Exploration_Gerald/RawData/031121      ,303,20210311,114414,11-Mar-2021 11:44:14,ee_alterhb,2
